q,lat,lng,region_res5,region_res4
amc,42.559714,-82.899945,852ab2d7fffffff,842ab2dffffffff
amc,42.701578,-83.306484,85274daffffffff,84274dbffffffff
amc,33.451206,-86.727649,8544e837fffffff,8444e83ffffffff
amc,33.372241,-86.814554,8544e8affffffff,8444e83ffffffff
amc,31.268798,-85.450258,8544e157fffffff,8444e15ffffffff
amc,40.53617,-105.081473,8526aa53fffffff,8426aa5ffffffff
amc,28.116418,-82.741208,85441abbfffffff,84441abffffffff
amc,30.379786,-86.315569,8544e533fffffff,8444e53ffffffff
amc,28.042142,-80.662674,8544a823fffffff,8444a83ffffffff
amc,33.658016,-84.510667,8544c1a3fffffff,8444c1bffffffff
amc,33.943017,-83.739443,8544c17bfffffff,8444c17ffffffff
amc,42.446463,-96.353519,85260177fffffff,8426017ffffffff
amc,42.912073,-112.472276,8528b2abfffffff,8428b2bffffffff
amc,41.322027,-89.135291,85266647fffffff,8426665ffffffff
amc,41.817948,-89.64864,85275b3bfffffff,84275b3ffffffff
amc,40.691434,-89.481906,852662cbfffffff,842662dffffffff
amc,41.070805,-85.195834,852a9657fffffff,842a965ffffffff
amc,39.710735,-86.360787,852661abfffffff,842661bffffffff
amc,43.035813,-82.45395,852ab603fffffff,842ab61ffffffff
amc,43.955677,-86.373947,85274ed7fffffff,84274edffffffff
amc,43.473166,-83.970429,85274dd3fffffff,84274ddffffffff
amc,44.733283,-85.650117,8527418ffffffff,8427419ffffffff
amc,38.782595,-93.733116,852650cbfffffff,842650dffffffff
amc,46.887345,-114.043328,85289853fffffff,8428985ffffffff
amc,35.079379,-78.968323,852ad677fffffff,842ad67ffffffff
amc,34.763575,-77.3782,852ad543fffffff,842ad55ffffffff
amc,35.666865,-78.843291,852ad6d7fffffff,842ad6dffffffff
amc,35.021472,-106.711123,8548d897fffffff,8448dd5ffffffff
amc,40.227239,-76.939781,852aae93fffffff,842aae9ffffffff
amc,31.312876,-94.724843,85446867fffffff,8444687ffffffff
amc,31.639372,-94.655529,85446bc7fffffff,84446bdffffffff
amc,37.231307,-79.974126,852a8a97fffffff,842a8a9ffffffff
amc,47.661643,-122.318059,8528d543fffffff,8428d55ffffffff
amc,39.401756,-104.879565,85268c57fffffff,84268c5ffffffff
amc,41.848669,-87.742735,852664cbfffffff,842664dffffffff
amc,41.2424,-95.895612,852608cbfffffff,84260e3ffffffff
amc,39.701778,-86.152557,852661a3fffffff,842661bffffffff
amc,43.081287,-88.766371,852758a3fffffff,842758bffffffff
amc,38.320614,-88.958667,852640b7fffffff,8426457ffffffff
amc,36.7331,-90.444565,85265dd3fffffff,84265ddffffffff
amc,39.829754,-84.836184,852a92affffffff,842a92bffffffff
amc,41.633192,-86.255895,85274b47fffffff,84274b7ffffffff
amc,39.427053,-87.425162,852663a7fffffff,842663bffffffff
amc,38.915842,-94.648329,85265663fffffff,8426567ffffffff
amc,39.559937,-104.991772,85268ccbfffffff,84268cdffffffff
amc,39.889178,-105.070702,852681a7fffffff,842681bffffffff
amc,38.674788,-90.410951,85264623fffffff,8426463ffffffff
amc,41.883492,-87.628808,852664c3fffffff,842664dffffffff
amc,35.24554,-97.484972,8526c117fffffff,8426c11ffffffff
amc,30.470014,-97.807225,85489e27fffffff,84489e3ffffffff
amc,30.408954,-97.672032,85489e27fffffff,84489e3ffffffff
amc,32.950612,-96.614217,8526c82bfffffff,8426c83ffffffff
amc,29.604901,-95.2129,85446c17fffffff,84446c1ffffffff
amc,25.746923,-80.390259,8544a1bbfffffff,8444a19ffffffff
amc,28.825111,-81.784512,8544f4cbfffffff,8444f4dffffffff
amc,36.81569,-76.073093,852af637fffffff,842af63ffffffff
amc,39.214737,-76.861082,852aa8cffffffff,842aa8dffffffff
amc,39.035319,-77.052041,852aa843fffffff,842aa85ffffffff
amc,37.061884,-76.423182,852af60ffffffff,842af61ffffffff
amc,41.266879,-96.06825,85260e27fffffff,84260e3ffffffff
amc,29.962526,-90.191795,85444657fffffff,8444465ffffffff
amc,29.898685,-90.060505,85444653fffffff,8444465ffffffff
amc,40.073483,-74.967149,852a1343fffffff,842a135ffffffff
amc,26.10461,-80.361058,8544a133fffffff,8444a13ffffffff
amc,26.010544,-80.307661,8544a1abfffffff,8444a1bffffffff
amc,39.951803,-75.156864,852a134ffffffff,842a135ffffffff
amc,39.882743,-75.550096,852aacbbfffffff,842aacbffffffff
amc,38.907337,-94.767139,8526567bfffffff,8426567ffffffff
amc,45.430487,-122.831748,8528f017fffffff,8428f01ffffffff
amc,45.616497,-122.550714,8528f00bfffffff,8428f01ffffffff
amc,41.22877,-73.183798,852a1093fffffff,842a109ffffffff
amc,41.054351,-73.541202,852a108bfffffff,842a109ffffffff
amc,38.987565,-76.546551,852aa803fffffff,842aa81ffffffff
amc,35.479505,-97.755027,8526c1c7fffffff,8426c1dffffffff
amc,36.279899,-95.832987,8526ee23fffffff,8426ee3ffffffff
amc,39.406595,-76.785046,852aa8dbfffffff,842aa8dffffffff
amc,42.218319,-71.032921,852a3393fffffff,842a339ffffffff
amc,40.083935,-74.960879,852a1343fffffff,842a135ffffffff
amc,47.654567,-122.694792,8528d50bfffffff,8428d51ffffffff
amc,29.641149,-95.584321,85446ca3fffffff,84446cbffffffff
amc,47.701814,-122.342396,8528d547fffffff,8428d55ffffffff
amc,41.651594,-87.744192,85266457fffffff,8426645ffffffff
amc,42.552848,-70.940191,852a300ffffffff,842a301ffffffff
amc,38.620144,-76.92814,852aa863fffffff,842aa87ffffffff
amc,42.807709,-86.084697,85274843fffffff,8427485ffffffff
amc,32.360195,-86.132084,8544eeb7fffffff,8444eebffffffff
amc,33.607769,-112.355485,8529b6d7fffffff,8429b69ffffffff
amc,34.194532,-84.795747,8544ccc7fffffff,8444ccdffffffff
amc,34.953996,-85.246127,8544cc27fffffff,8444cc3ffffffff
amc,31.986966,-81.171829,8544d5d7fffffff,8444d5dffffffff
amc,33.903626,-84.004025,8544c177fffffff,8444c17ffffffff
amc,39.179117,-96.558633,8526e423fffffff,8426e43ffffffff
amc,45.75138,-108.613229,85279e37fffffff,84279e3ffffffff
amc,35.570725,-82.520698,8544d983fffffff,8444d99ffffffff
amc,34.797092,-77.417148,852ad55bfffffff,842ad55ffffffff
amc,40.268624,-75.658919,852aac9bfffffff,842aac9ffffffff
amc,40.826234,-76.848438,852aa11bfffffff,842aa11ffffffff
amc,34.07559,-81.161411,8544dc4bfffffff,8444dc5ffffffff
amc,33.792402,-78.766571,852ad31bfffffff,842ad31ffffffff
amc,36.131513,-85.506084,8544c91bfffffff,8444c91ffffffff
amc,35.746414,-83.996084,8544caa3fffffff,8444cabffffffff
amc,37.506783,-77.619727,852a8dd7fffffff,842a8d9ffffffff
amc,45.152745,-93.277994,8527527bfffffff,8427527ffffffff
amc,39.775344,-85.983193,852661b7fffffff,842661bffffffff
amc,43.571951,-89.77576,852758dbfffffff,842758dffffffff
amc,41.673443,-86.887483,852664bbfffffff,842664bffffffff
amc,41.516395,-87.991121,8526644ffffffff,8426645ffffffff
amc,40.602476,-89.629488,85266253fffffff,842662dffffffff
amc,38.957431,-77.401142,852aaab3fffffff,842aaabffffffff
amc,38.634215,-90.316683,85264627fffffff,8426463ffffffff
amc,38.972933,-94.60553,85265673fffffff,8426567ffffffff
amc,39.930116,-105.135489,852681a7fffffff,842681bffffffff
amc,39.729678,-104.9391,85268cd3fffffff,84268cdffffffff
amc,33.423188,-111.942002,8548eba7fffffff,8448ebbffffffff
amc,39.242969,-94.656089,8526561bfffffff,8426561ffffffff
amc,33.642009,-112.225356,8529b6d7fffffff,8429b6dffffffff
amc,42.24394,-87.949333,852759abfffffff,842759bffffffff
amc,32.868639,-96.77393,8526c867fffffff,8426c87ffffffff
amc,32.757099,-97.171029,8526cbd3fffffff,8426cbdffffffff
amc,30.194402,-95.451163,85446c27fffffff,84446c3ffffffff
amc,29.423384,-98.484075,85489c1bfffffff,84489c1ffffffff
amc,27.234348,-82.494565,85441e0bfffffff,84441e1ffffffff
amc,38.806345,-76.980386,852aa87bfffffff,842aa87ffffffff
amc,39.024138,-77.146,852aa843fffffff,842aa85ffffffff
amc,40.140306,-74.953939,852a1353fffffff,842a135ffffffff
amc,39.000054,-76.908245,852aa847fffffff,842aa85ffffffff
amc,38.91754,-77.21878,852aa84ffffffff,842aa85ffffffff
amc,40.105464,-83.0977,852a957bfffffff,842a957ffffffff
amc,40.031199,-82.447179,852a953bfffffff,842a953ffffffff
amc,33.969109,-84.019333,8544c177fffffff,8444c17ffffffff
amc,33.563312,-84.329201,8544c1bbfffffff,8444c1bffffffff
amc,32.340823,-86.17766,8544eeb7fffffff,8444eebffffffff
amc,30.385561,-91.084054,854440cbfffffff,844440dffffffff
amc,35.904681,-78.944265,852ad6d3fffffff,842ad6dffffffff
amc,36.067716,-115.178819,852986bbfffffff,842986bffffffff
amc,30.4815,-90.464064,85444667fffffff,8444467ffffffff
amc,27.643315,-80.459682,8544a81bfffffff,8444a81ffffffff
amc,40.349773,-75.967015,852aacd3fffffff,842aacdffffffff
amc,47.659598,-117.423822,8512db77fffffff,8412db7ffffffff
amc,45.658057,-122.582274,8528f00bfffffff,8428f01ffffffff
amc,41.100844,-73.419755,852a1083fffffff,842a109ffffffff
amc,44.854204,-93.429295,85262cd3fffffff,84262cdffffffff
amc,35.353528,-80.85032,8544dab7fffffff,8444dabffffffff
amc,35.370359,-80.726033,8544daa3fffffff,8444dabffffffff
amc,32.660416,-97.404901,8526cbdbfffffff,8426cbdffffffff
amc,32.803963,-97.430136,8526caaffffffff,8426cabffffffff
amc,41.840183,-88.001748,85275927fffffff,8427593ffffffff
amc,41.757392,-87.736971,85266453fffffff,8426645ffffffff
amc,41.081809,-111.979259,85269683fffffff,8426969ffffffff
amc,38.901148,-76.847771,852aa847fffffff,842aa85ffffffff
amc,41.776647,-87.858972,85266453fffffff,8426645ffffffff
amc,41.416136,-73.415348,852a1467fffffff,842a147ffffffff
amc,42.744001,-71.15712,852a3047fffffff,842a305ffffffff
amc,32.341871,-111.016106,8548e847fffffff,8448e85ffffffff
amc,39.370731,-76.464614,852aa8d7fffffff,842aa8dffffffff
amc,33.408309,-86.667163,8544e833fffffff,8444e83ffffffff
amc,30.653117,-87.903008,85445057fffffff,8444505ffffffff
amc,30.673138,-88.221628,85445003fffffff,8444501ffffffff
amc,25.865177,-80.297797,8544a117fffffff,8444a11ffffffff
amc,30.485021,-87.260157,85445293fffffff,8444529ffffffff
amc,27.605406,-81.515036,8544ad73fffffff,8444ad7ffffffff
amc,34.755913,-84.934269,8544cc77fffffff,8444cc7ffffffff
amc,32.43409,-81.763589,8544d5a7fffffff,8444d5bffffffff
amc,40.147507,-88.260228,852663d3fffffff,8426607ffffffff
amc,41.065016,-83.667406,852a940bfffffff,842a941ffffffff
amc,40.069616,-80.869517,852a8623fffffff,842a863ffffffff
amc,39.076577,-84.349859,852a9307fffffff,842a931ffffffff
amc,36.043691,-96.003586,8526ea97fffffff,8426ea9ffffffff
amc,44.587798,-123.249,8528f5dbfffffff,8428f4bffffffff
amc,40.343425,-80.053904,852a847bfffffff,842a847ffffffff
amc,40.700079,-79.724461,852a841bfffffff,842a841ffffffff
amc,35.942934,-86.823799,85264d03fffffff,84264d1ffffffff
amc,36.050655,-86.651707,85264d17fffffff,84264d1ffffffff
amc,36.081822,-86.94827,85264d1bfffffff,84264d1ffffffff
amc,32.26848,-95.309488,8526c937fffffff,8426c93ffffffff
amc,39.597572,-104.80103,85268cc7fffffff,84268cdffffffff
amc,38.783462,-89.955725,852640d3fffffff,842640dffffffff
