query,region_res5,region_res4,label,total_orders,source,share_near,share_far,dist_segment
skyzone,852ab2d3fffffff,842ab2dffffffff,1,50,REAL,0.77083333333333337,0.041666666666666664,LOCAL
massage,852681a7fffffff,842681bffffffff,1,50,REAL,0.75,0.16666666666666666,LOCAL
laser hair removal,8526c80ffffffff,8426c81ffffffff,1,50,REAL,0.54166666666666663,0.083333333333333329,MIXED
laser hair removal,85268cdbfffffff,84268cdffffffff,1,50,REAL,0.77083333333333337,0.083333333333333329,LOCAL
funtopia,8527592ffffffff,8427593ffffffff,1,50,REAL,0.5625,0.020833333333333332,MIXED
head spa,8548eba3fffffff,8448ebbffffffff,1,50,REAL,0.72916666666666663,0.125,LOCAL
car wash,8544ae97fffffff,8444ae9ffffffff,1,50,REAL,0.625,0.041666666666666664,MIXED
camelback,852a12c7fffffff,842a12dffffffff,2,50,REAL,0.10416666666666667,0.1875,MIXED
valvoline,852a9313fffffff,842a931ffffffff,2,50,REAL,0.66666666666666663,0.125,MIXED
wine tasting temecula,8529a0d7fffffff,8429a0dffffffff,2,50,REAL,0.083333333333333329,0.0625,MIXED
oil change,852a9307fffffff,842a931ffffffff,3,50,REAL,0.10416666666666667,0.5625,TRAVEL_LIKE
fujiyama,852a957bfffffff,842a957ffffffff,3,50,REAL,0.60416666666666663,0.33333333333333331,MIXED
valvoline,8544cd67fffffff,8444cd7ffffffff,3,50,REAL,0,0.29166666666666669,MIXED
kartrite,852a160ffffffff,842a161ffffffff,3,50,REAL,0.0625,0.27083333333333331,MIXED
oil change,852659b3fffffff,842659bffffffff,3,50,REAL,0.625,0.35416666666666669,MIXED
ice skating,8544a1abfffffff,8444a1bffffffff,3,50,REAL,0.75,0.22916666666666666,MIXED
pirate dinner adventure,8544a917fffffff,8444a91ffffffff,3,50,REAL,0.47916666666666669,0.35416666666666669,MIXED
atv,85298607fffffff,8429861ffffffff,3,50,REAL,0.3125,0.6875,TRAVEL_LIKE
massage,85444643fffffff,8444465ffffffff,3,50,REAL,0.35416666666666669,0.52083333333333337,TRAVEL_LIKE
microsoft visio,852aac33fffffff,842aac3ffffffff,3,50,REAL,0,0.97916666666666663,TRAVEL_LIKE
halloween,852986bbfffffff,842986bffffffff,0,50,REAL,0.91836734693877553,0.040816326530612242,LOCAL
massage,85441ac7fffffff,84441adffffffff,0,50,REAL,0.81632653061224492,0.14285714285714285,LOCAL
