trigram,tfidf
acne treatment session,3.2740465540072775e-05
acne treatment sessions,3.0293535460935858e-05
acqua di gio,1.2593421072850615e-05
acrylic full set,2.9099992815092288e-05
action camera with,1.0582891599002858e-05
activities for kids,1.75429481044773e-05
acupuncture and massage,1.3915520830713166e-05
acupuncture and wellness,2.8686549190363795e-05
acupuncture session discover,1.3529814068047958e-05
acupuncture session up,1.648506937457677e-05
acupuncture session with,1.7027777249105963e-05
acupuncture sessions at,1.1635049833679204e-05
acupuncture sessions with,2.6744045695498824e-05
acupuncture treatment with,1.1440491576655211e-05
add on treatment,7.058961683514101e-05
add on treatments,2.3435626500315712e-05
addon at massage,2.0632842673939767e-05
addon up to,2.0557247533477273e-05
addons up to,2.4029743240475058e-05
adidas gift card,1.0564345549242683e-05
adjustment and massage,1.579822725194352e-05
adjustment and one,1.1863851041604523e-05
adjustment up to,2.780232568716441e-05
adjustments and xrays,1.704555482562022e-05
adjustments up to,3.736824602366911e-05
adjustments with up,1.6163569121890935e-05
admission and gear,1.5191752765377188e-05
admission for four,2.6734015044002822e-05
admission for one,7.181102763741495e-05
admission for two,3.655284979035042e-05
admission gun and,1.172564073532396e-05
admission on feb,1.4894902264993731e-05
admission up to,1.496770182724727e-05
admission with gear,2.2755843555750766e-05
admissions with gun,1.7265349112180064e-05
adobe acrobat pro,1.0882212932700782e-05
adodd serenity wellness,1.0656995024445699e-05
adult only resort,1.0794126878293174e-05
adult or child,2.9069855322742736e-05
adults and kids,1.2356703992242343e-05
adults child ga,1.0259202753763053e-05
adults only all,1.1696366440386772e-05
adults up to,1.5000188838830388e-05
adults with up,1.0699881645445788e-05
advanced beauty spa,1.1640737028283433e-05
advanced laser clinics,1.0611825796543347e-05
advanced practice aesthetics,1.5444436997349104e-05
advanced skin care,3.042731186960145e-05
advanced teeth whitening,1.0617693038588266e-05
adventure and trampoline,1.3274616689386802e-05
adventure for up,1.1724565693351306e-05
adventure up to,1.6376872432780187e-05
adventures up to,1.8712486730808113e-05
adventurous scavenger hunt,2.0032018049167725e-05
aero laser and,1.2436473133311247e-05
aes med spa,1.1088570702109776e-05
aesthetic beauty studio,1.1530386343894483e-05
aesthetic medical spa,1.7408464084459562e-05
aesthetic medicine center,1.0272303632139736e-05
aesthetic skin care,1.2788988520393058e-05
aesthetic up to,1.3187835226812985e-05
aesthetics and laser,1.1580168620527618e-05
aesthetics and wellness,5.891995713513375e-05
aesthetics body sculpting,1.2910769721347788e-05
aesthetics care med,1.16550043132016e-05
aesthetics laser hair,1.9429194164782474e-05
aesthetics laser westport,1.0877476795098933e-05
aesthetics med spa,3.693667342048001e-05
aesthetics medical spa,1.718311736759682e-05
aesthetics miami lakes,1.252362830944295e-05
aesthetics offering up,1.1450174101177784e-05
aesthetics save up,1.0729762150400027e-05
aesthetics skin bar,1.1305131803677816e-05
aesthetics skin care,1.0185807752966743e-05
aesthetics up to,0.00013130681014872085
aesthetics with options,1.4347586187137367e-05
aesthetics with up,2.7245015328538458e-05
african lion safari,1.617316235123885e-05
again doctormedical center,1.1650025180260755e-05
against rise of,2.3044415984954983e-05
age spot or,1.2096994385839393e-05
age spot removal,1.1248537173163057e-05
age spots or,1.5504788125221483e-05
ageless wellness spa,1.0068344722824148e-05
ages and up,1.748977200760545e-05
ages up to,1.9279282186997063e-05
ages with up,2.0516029620817495e-05
ai beauty spa,1.0441098733426248e-05
air adventure and,1.3274616689386802e-05
air aerial fitness,1.9017378519518238e-05
air and space,1.4026518571515674e-05
air balloon ride,2.8285095191898232e-05
air balloon rides,2.040564214376691e-05
air duct and,3.874753108408313e-05
air duct chimney,1.0242677763608208e-05
air duct cleaning,0.00015848274728719249
air duct dryer,1.057679504813549e-05
air not included,3.16908351405167e-05
air port parking,1.3478703358569912e-05
air trampoline park,3.93385041718619e-05
airbrush spray tan,4.205307105003595e-05
airbrush spray tanning,3.627112564112619e-05
airbrush spray tans,2.516531456521262e-05
airbrush spraytan session,1.784078026532005e-05
airbrush spraytan sessions,1.9192791202336136e-05
airduct cleaning for,3.965495713837921e-05
airduct cleaning package,1.2140534554326934e-05
airfare not included,1.1384276295174836e-05
airport parking at,1.973135824365458e-05
airport parking in,1.2070568488335102e-05
akala med spas,1.1554098284613309e-05
akron break room,1.0307097118437493e-05
alea aesthetic medical,1.1120211908664761e-05
align medspa orland,1.3606970333538457e-05
alignment and balance,1.2370180018128232e-05
alignment and balancing,1.0451319651945144e-05
alignment and tire,2.3870624870179282e-05
alignment balancing at,2.357118873683209e-05
alignment for four,1.1791321708224982e-05
alignment in spring,1.5491692609314707e-05
alignment tire balancing,1.1903865562575677e-05
alignment tire rotation,1.3473902387944834e-05
alignment up to,2.4970914046506554e-05
all about you,3.4815431094582975e-05
all ages up,1.634423959616614e-05
all ages with,2.195143984891884e-05
all areas with,1.0048805978157501e-05
all at up,3.359444147668845e-05
all day jump,1.0284256161531697e-05
all day pass,1.731401685111701e-05
all for up,1.8826683251143918e-05
all gain spa,1.1864611909910178e-05
all in one,3.18072197899001e-05
all inclusive adult,1.6772853107176608e-05
all inclusive adults,1.256119403575181e-05
all inclusive cancun,2.1007308081553755e-05
all inclusive day,1.2682923765295492e-05
all inclusive deals,1.1019453094183992e-05
all inclusive dominican,1.1352178372419381e-05
all inclusive family,1.2288670927933321e-05
all inclusive flight,1.8499127364052444e-05
all inclusive hotel,2.352402294753704e-05
all inclusive hotels,1.5360892086576697e-05
all inclusive in,1.2848197261756642e-05
all inclusive mexico,1.1704325425371366e-05
all inclusive puerto,1.3274463224589341e-05
all inclusive resort,7.169587635183963e-05
all inclusive resorts,4.365244199243717e-05
all inclusive spa,1.1812897029711063e-05
all inclusive travel,1.2996220383623752e-05
all inclusive trip,2.004237885161252e-05
all inclusive vacation,4.19578857441743e-05
all inclusive vacations,3.021585103464272e-05
all inclusive with,3.31474583328647e-05
all love collections,1.5037685987666013e-05
all over color,4.6080433726639496e-05
all skill levels,1.933486740810677e-05
all skin types,5.695612024402365e-05
all star sports,1.0530615502743885e-05
all tune and,2.1027375055049362e-05
all up to,3.0130214133187416e-05
all while saving,1.1590313266223623e-05
all with up,3.678860146993626e-05
all you can,5.5994331165379705e-05
allday admissions with,1.7265349112180064e-05
alliance health choice,1.750653691632887e-05
allure beauty studios,1.0374934355096253e-05
aloha poke co,1.4968274326891933e-05
alpaca peruvian charcoal,2.282786594131751e-05
also valid on,3.170735441655222e-05
alternative comforter set,1.1833384540948146e-05
